,State,Year,Quarter,District,Registered_users,Region
0,Andhra Pradesh,2018,1,Visakhapatnam,497187,Southern Region
1,Andhra Pradesh,2018,1,East Godavari,350356,Southern Region
2,Andhra Pradesh,2018,1,Krishna,323673,Southern Region
3,Andhra Pradesh,2018,1,Guntur,317065,Southern Region
4,Andhra Pradesh,2018,1,Chittoor,309541,Southern Region
5,Andhra Pradesh,2018,1,Anantapur,241192,Southern Region
6,Andhra Pradesh,2018,1,Kurnool,240133,Southern Region
7,Andhra Pradesh,2018,1,West Godavari,213335,Southern Region
8,Andhra Pradesh,2018,1,Spsr Nellore,194475,Southern Region
9,Andhra Pradesh,2018,1,Prakasam,189949,Southern Region
10,Andhra Pradesh,2018,2,Visakhapatnam,636052,Southern Region
11,Andhra Pradesh,2018,2,East Godavari,454398,Southern Region
12,Andhra Pradesh,2018,2,Krishna,431965,Southern Region
13,Andhra Pradesh,2018,2,Guntur,420326,Southern Region
14,Andhra Pradesh,2018,2,Chittoor,414306,Southern Region
15,Andhra Pradesh,2018,2,Anantapur,326383,Southern Region
16,Andhra Pradesh,2018,2,Kurnool,319313,Southern Region
17,Andhra Pradesh,2018,2,West Godavari,282393,Southern Region
18,Andhra Pradesh,2018,2,Spsr Nellore,261049,Southern Region
19,Andhra Pradesh,2018,2,Prakasam,253458,Southern Region
20,Andhra Pradesh,2018,3,Visakhapatnam,769096,Southern Region
21,Andhra Pradesh,2018,3,East Godavari,558982,Southern Region
22,Andhra Pradesh,2018,3,Krishna,537086,Southern Region
23,Andhra Pradesh,2018,3,Guntur,518931,Southern Region
24,Andhra Pradesh,2018,3,Chittoor,515727,Southern Region
25,Andhra Pradesh,2018,3,Anantapur,405855,Southern Region
26,Andhra Pradesh,2018,3,Kurnool,394311,Southern Region
27,Andhra Pradesh,2018,3,West Godavari,349782,Southern Region
28,Andhra Pradesh,2018,3,Spsr Nellore,322446,Southern Region
29,Andhra Pradesh,2018,3,Prakasam,314899,Southern Region
30,Andhra Pradesh,2018,4,Visakhapatnam,978288,Southern Region
31,Andhra Pradesh,2018,4,East Godavari,694455,Southern Region
32,Andhra Pradesh,2018,4,Krishna,682479,Southern Region
33,Andhra Pradesh,2018,4,Chittoor,665280,Southern Region
34,Andhra Pradesh,2018,4,Guntur,659552,Southern Region
35,Andhra Pradesh,2018,4,Anantapur,510892,Southern Region
36,Andhra Pradesh,2018,4,Kurnool,498582,Southern Region
37,Andhra Pradesh,2018,4,West Godavari,435668,Southern Region
38,Andhra Pradesh,2018,4,Spsr Nellore,407495,Southern Region
39,Andhra Pradesh,2018,4,Prakasam,394962,Southern Region
40,Andhra Pradesh,2019,1,Visakhapatnam,1174517,Southern Region
41,Andhra Pradesh,2019,1,East Godavari,839277,Southern Region
42,Andhra Pradesh,2019,1,Krishna,833694,Southern Region
43,Andhra Pradesh,2019,1,Chittoor,812314,Southern Region
44,Andhra Pradesh,2019,1,Guntur,802394,Southern Region
45,Andhra Pradesh,2019,1,Anantapur,612162,Southern Region
46,Andhra Pradesh,2019,1,Kurnool,599422,Southern Region
47,Andhra Pradesh,2019,1,West Godavari,523372,Southern Region
48,Andhra Pradesh,2019,1,Spsr Nellore,491908,Southern Region
49,Andhra Pradesh,2019,1,Prakasam,474260,Southern Region
50,Andhra Pradesh,2019,2,Visakhapatnam,1318740,Southern Region
51,Andhra Pradesh,2019,2,Krishna,952300,Southern Region
52,Andhra Pradesh,2019,2,East Godavari,945181,Southern Region
53,Andhra Pradesh,2019,2,Chittoor,925491,Southern Region
54,Andhra Pradesh,2019,2,Guntur,915256,Southern Region
55,Andhra Pradesh,2019,2,Anantapur,695114,Southern Region
56,Andhra Pradesh,2019,2,Kurnool,680118,Southern Region
57,Andhra Pradesh,2019,2,West Godavari,592185,Southern Region
58,Andhra Pradesh,2019,2,Spsr Nellore,558303,Southern Region
59,Andhra Pradesh,2019,2,Prakasam,539462,Southern Region
60,Andhra Pradesh,2019,3,Visakhapatnam,1460464,Southern Region
61,Andhra Pradesh,2019,3,Krishna,1066546,Southern Region
62,Andhra Pradesh,2019,3,East Godavari,1057167,Southern Region
63,Andhra Pradesh,2019,3,Chittoor,1032733,Southern Region
64,Andhra Pradesh,2019,3,Guntur,1026418,Southern Region
65,Andhra Pradesh,2019,3,Anantapur,773656,Southern Region
66,Andhra Pradesh,2019,3,Kurnool,755024,Southern Region
67,Andhra Pradesh,2019,3,West Godavari,662102,Southern Region
68,Andhra Pradesh,2019,3,Spsr Nellore,619592,Southern Region
69,Andhra Pradesh,2019,3,Prakasam,598568,Southern Region
70,Andhra Pradesh,2019,4,Visakhapatnam,1620235,Southern Region
71,Andhra Pradesh,2019,4,Krishna,1199971,Southern Region
72,Andhra Pradesh,2019,4,East Godavari,1195228,Southern Region
73,Andhra Pradesh,2019,4,Guntur,1158708,Southern Region
74,Andhra Pradesh,2019,4,Chittoor,1156351,Southern Region
75,Andhra Pradesh,2019,4,Anantapur,873033,Southern Region
76,Andhra Pradesh,2019,4,Kurnool,846885,Southern Region
77,Andhra Pradesh,2019,4,West Godavari,750078,Southern Region
78,Andhra Pradesh,2019,4,Spsr Nellore,697154,Southern Region
79,Andhra Pradesh,2019,4,Prakasam,673522,Southern Region
80,Andhra Pradesh,2020,1,Visakhapatnam,1763581,Southern Region
81,Andhra Pradesh,2020,1,Krishna,1331602,Southern Region
82,Andhra Pradesh,2020,1,East Godavari,1329664,Southern Region
83,Andhra Pradesh,2020,1,Guntur,1289678,Southern Region
84,Andhra Pradesh,2020,1,Chittoor,1270907,Southern Region
85,Andhra Pradesh,2020,1,Anantapur,971850,Southern Region
86,Andhra Pradesh,2020,1,Kurnool,936293,Southern Region
87,Andhra Pradesh,2020,1,West Godavari,843835,Southern Region
