State,Year,Quarter,Registered_users,App_opens,Region
Andaman_and_Nicobar_Islands,2018,1,632,0,Southern Region
Andaman_and_Nicobar_Islands,2018,1,5846,0,Southern Region
Andaman_and_Nicobar_Islands,2018,1,262,0,Southern Region
Andaman_and_Nicobar_Islands,2018,2,911,0,Southern Region
Andaman_and_Nicobar_Islands,2018,2,8143,0,Southern Region
Andaman_and_Nicobar_Islands,2018,2,351,0,Southern Region
Andaman_and_Nicobar_Islands,2018,3,1208,0,Southern Region
Andaman_and_Nicobar_Islands,2018,3,10474,0,Southern Region
Andaman_and_Nicobar_Islands,2018,3,467,0,Southern Region
Andaman_and_Nicobar_Islands,2018,4,1553,0,Southern Region
Andaman_and_Nicobar_Islands,2018,4,13133,0,Southern Region
Andaman_and_Nicobar_Islands,2018,4,536,0,Southern Region
Andaman_and_Nicobar_Islands,2019,1,2013,0,Southern Region
Andaman_and_Nicobar_Islands,2019,1,15961,0,Southern Region
Andaman_and_Nicobar_Islands,2019,1,622,0,Southern Region
Andaman_and_Nicobar_Islands,2019,2,2417,6118,Southern Region
Andaman_and_Nicobar_Islands,2019,2,18621,43569,Southern Region
Andaman_and_Nicobar_Islands,2019,2,693,2953,Southern Region
Andaman_and_Nicobar_Islands,2019,3,2662,22064,Southern Region
Andaman_and_Nicobar_Islands,2019,3,20518,138190,Southern Region
Andaman_and_Nicobar_Islands,2019,3,751,10853,Southern Region
Andaman_and_Nicobar_Islands,2019,4,2955,26253,Southern Region
Andaman_and_Nicobar_Islands,2019,4,22202,139646,Southern Region
Andaman_and_Nicobar_Islands,2019,4,803,11113,Southern Region
Andaman_and_Nicobar_Islands,2020,1,3315,30444,Southern Region
Andaman_and_Nicobar_Islands,2020,1,24174,151529,Southern Region
Andaman_and_Nicobar_Islands,2020,1,879,11613,Southern Region
Andaman_and_Nicobar_Islands,2020,2,4100,56992,Southern Region
Andaman_and_Nicobar_Islands,2020,2,27626,231071,Southern Region
Andaman_and_Nicobar_Islands,2020,2,984,17009,Southern Region
Andaman_and_Nicobar_Islands,2020,3,5355,76553,Southern Region
Andaman_and_Nicobar_Islands,2020,3,34833,417785,Southern Region
Andaman_and_Nicobar_Islands,2020,3,1147,21227,Southern Region
Andaman_and_Nicobar_Islands,2020,4,7076,125915,Southern Region
Andaman_and_Nicobar_Islands,2020,4,43908,725321,Southern Region
Andaman_and_Nicobar_Islands,2020,4,1412,35972,Southern Region
Andaman_and_Nicobar_Islands,2021,1,7833,121680,Southern Region
Andaman_and_Nicobar_Islands,2021,1,48352,837589,Southern Region
Andaman_and_Nicobar_Islands,2021,1,1573,45067,Southern Region
Andaman_and_Nicobar_Islands,2021,2,8493,596182,Southern Region
Andaman_and_Nicobar_Islands,2021,2,51903,1270226,Southern Region
Andaman_and_Nicobar_Islands,2021,2,1699,381815,Southern Region
Andaman_and_Nicobar_Islands,2021,3,9263,759314,Southern Region
Andaman_and_Nicobar_Islands,2021,3,55873,1771107,Southern Region
Andaman_and_Nicobar_Islands,2021,3,1846,591204,Southern Region
Andaman_and_Nicobar_Islands,2021,4,10002,171921,Southern Region
Andaman_and_Nicobar_Islands,2021,4,59807,1863037,Southern Region
Andaman_and_Nicobar_Islands,2021,4,1971,77952,Southern Region
Andaman_and_Nicobar_Islands,2022,1,10720,904869,Southern Region
Andaman_and_Nicobar_Islands,2022,1,63487,2368756,Southern Region
Andaman_and_Nicobar_Islands,2022,1,2081,573782,Southern Region
Andaman_and_Nicobar_Islands,2022,2,11379,963824,Southern Region
Andaman_and_Nicobar_Islands,2022,2,66959,3404740,Southern Region
Andaman_and_Nicobar_Islands,2022,2,2192,811449,Southern Region
Andaman_and_Nicobar_Islands,2022,3,11897,1176567,Southern Region
Andaman_and_Nicobar_Islands,2022,3,70445,3607286,Southern Region
Andaman_and_Nicobar_Islands,2022,3,2300,1284501,Southern Region
Andaman_and_Nicobar_Islands,2022,4,12361,313502,Southern Region
Andaman_and_Nicobar_Islands,2022,4,73692,3881359,Southern Region
Andaman_and_Nicobar_Islands,2022,4,2389,159232,Southern Region
Andhra_Pradesh,2018,1,350356,0,Southern Region
Andhra_Pradesh,2018,1,143839,0,Southern Region
Andhra_Pradesh,2018,1,497187,0,Southern Region
Andhra_Pradesh,2018,1,189949,0,Southern Region
Andhra_Pradesh,2018,1,241192,0,Southern Region
Andhra_Pradesh,2018,1,240133,0,Southern Region
Andhra_Pradesh,2018,1,317065,0,Southern Region
Andhra_Pradesh,2018,1,323673,0,Southern Region
Andhra_Pradesh,2018,1,194475,0,Southern Region
Andhra_Pradesh,2018,1,128905,0,Southern Region
Andhra_Pradesh,2018,1,186800,0,Southern Region
Andhra_Pradesh,2018,1,213335,0,Southern Region
Andhra_Pradesh,2018,1,309541,0,Southern Region
Andhra_Pradesh,2018,2,454398,0,Southern Region
Andhra_Pradesh,2018,2,186913,0,Southern Region
Andhra_Pradesh,2018,2,636052,0,Southern Region
Andhra_Pradesh,2018,2,253458,0,Southern Region
Andhra_Pradesh,2018,2,326383,0,Southern Region
Andhra_Pradesh,2018,2,319313,0,Southern Region
Andhra_Pradesh,2018,2,420326,0,Southern Region
Andhra_Pradesh,2018,2,431965,0,Southern Region
Andhra_Pradesh,2018,2,261049,0,Southern Region
Andhra_Pradesh,2018,2,167327,0,Southern Region
Andhra_Pradesh,2018,2,248657,0,Southern Region
Andhra_Pradesh,2018,2,282393,0,Southern Region
Andhra_Pradesh,2018,2,414306,0,Southern Region
Andhra_Pradesh,2018,3,558982,0,Southern Region
Andhra_Pradesh,2018,3,228456,0,Southern Region
Andhra_Pradesh,2018,3,769096,0,Southern Region
Andhra_Pradesh,2018,3,314899,0,Southern Region
Andhra_Pradesh,2018,3,405855,0,Southern Region
Andhra_Pradesh,2018,3,394311,0,Southern Region
Andhra_Pradesh,2018,3,518931,0,Southern Region
Andhra_Pradesh,2018,3,537086,0,Southern Region
Andhra_Pradesh,2018,3,322446,0,Southern Region
