State,Year,Quarter,Transaction_count,Transaction_amount,Region
Andaman_and_Nicobar_Islands,2018,1,5688,12560249.34366581,Southern Region
Andaman_and_Nicobar_Islands,2018,1,528,1139848.801225994,Southern Region
Andaman_and_Nicobar_Islands,2018,1,442,931663.0770939873,Southern Region
Andaman_and_Nicobar_Islands,2018,2,9395,23948235.51634325,Southern Region
Andaman_and_Nicobar_Islands,2018,2,1120,3072436.9081196385,Southern Region
Andaman_and_Nicobar_Islands,2018,2,825,1317863.0834906558,Southern Region
Andaman_and_Nicobar_Islands,2018,3,13511,44268112.464252464,Southern Region
Andaman_and_Nicobar_Islands,2018,3,1471,6387829.151558982,Southern Region
Andaman_and_Nicobar_Islands,2018,3,1283,4901529.518499676,Southern Region
Andaman_and_Nicobar_Islands,2018,4,20136,75411840.8018554,Southern Region
Andaman_and_Nicobar_Islands,2018,4,2137,7955635.917688001,Southern Region
Andaman_and_Nicobar_Islands,2018,4,1485,7180859.354911782,Southern Region
Andaman_and_Nicobar_Islands,2019,1,25683,85501972.38780196,Southern Region
Andaman_and_Nicobar_Islands,2019,1,3264,9561708.736298349,Southern Region
Andaman_and_Nicobar_Islands,2019,1,1539,7236059.549389593,Southern Region
Andaman_and_Nicobar_Islands,2019,2,28490,102530955.71341251,Southern Region
Andaman_and_Nicobar_Islands,2019,2,3371,8612103.13788812,Southern Region
Andaman_and_Nicobar_Islands,2019,2,1828,9111650.82436246,Southern Region
Andaman_and_Nicobar_Islands,2019,3,27421,91023888.32848613,Southern Region
Andaman_and_Nicobar_Islands,2019,3,4049,11481466.28335679,Southern Region
Andaman_and_Nicobar_Islands,2019,3,2300,11566421.47545101,Southern Region
Andaman_and_Nicobar_Islands,2019,4,27843,110930312.2061162,Southern Region
Andaman_and_Nicobar_Islands,2019,4,4716,13524056.784573939,Southern Region
Andaman_and_Nicobar_Islands,2019,4,2600,12384161.52668771,Southern Region
Andaman_and_Nicobar_Islands,2020,1,32713,134679396.90582752,Southern Region
Andaman_and_Nicobar_Islands,2020,1,5674,14697371.6178571,Southern Region
Andaman_and_Nicobar_Islands,2020,1,2911,12099543.77359005,Southern Region
Andaman_and_Nicobar_Islands,2020,2,48088,132855778.74838582,Southern Region
Andaman_and_Nicobar_Islands,2020,2,10979,22447714.061058953,Southern Region
Andaman_and_Nicobar_Islands,2020,2,3895,14341508.60470232,Southern Region
Andaman_and_Nicobar_Islands,2020,3,95323,282366109.2052393,Southern Region
Andaman_and_Nicobar_Islands,2020,3,16747,33486883.370425563,Southern Region
Andaman_and_Nicobar_Islands,2020,3,5413,22166453.75469538,Southern Region
Andaman_and_Nicobar_Islands,2020,4,186494,523122462.88302904,Southern Region
Andaman_and_Nicobar_Islands,2020,4,29349,68941322.38839513,Southern Region
Andaman_and_Nicobar_Islands,2020,4,8688,35218871.04342848,Southern Region
Andaman_and_Nicobar_Islands,2021,1,207092,669604045.1248703,Southern Region
Andaman_and_Nicobar_Islands,2021,1,27358,75027255.27919498,Southern Region
Andaman_and_Nicobar_Islands,2021,1,10302,39075266.9856904,Southern Region
Andaman_and_Nicobar_Islands,2021,2,286907,760893020.5704948,Southern Region
Andaman_and_Nicobar_Islands,2021,2,39200,90233388.79463303,Southern Region
Andaman_and_Nicobar_Islands,2021,2,15307,48020606.74716838,Southern Region
Andaman_and_Nicobar_Islands,2021,3,382418,1116789010.645961,Southern Region
Andaman_and_Nicobar_Islands,2021,3,46592,118254865.8275068,Southern Region
Andaman_and_Nicobar_Islands,2021,3,20754,74980519.32813609,Southern Region
Andaman_and_Nicobar_Islands,2021,4,558571,1694794708.0093331,Southern Region
Andaman_and_Nicobar_Islands,2021,4,53115,156486112.2873243,Southern Region
Andaman_and_Nicobar_Islands,2021,4,24437,81329281.02699961,Southern Region
Andaman_and_Nicobar_Islands,2022,1,705512,1872991195.9026842,Southern Region
Andaman_and_Nicobar_Islands,2022,1,60059,161624878.52274162,Southern Region
Andaman_and_Nicobar_Islands,2022,1,29177,94414127.64974089,Southern Region
Andaman_and_Nicobar_Islands,2022,2,954875,2357326563.362071,Southern Region
Andaman_and_Nicobar_Islands,2022,2,72573,195693167.78757262,Southern Region
Andaman_and_Nicobar_Islands,2022,2,43769,132900618.93062322,Southern Region
Andaman_and_Nicobar_Islands,2022,3,1455255,2967719400.849909,Southern Region
Andaman_and_Nicobar_Islands,2022,3,79574,211581970.34202647,Southern Region
Andaman_and_Nicobar_Islands,2022,3,49550,131330400.94545081,Southern Region
Andaman_and_Nicobar_Islands,2022,4,1835592,3600887266.099448,Southern Region
Andaman_and_Nicobar_Islands,2022,4,93297,241431284.3558103,Southern Region
Andaman_and_Nicobar_Islands,2022,4,58646,142355853.9735252,Southern Region
Andhra_Pradesh,2018,1,1256469,1749966196.5049942,Southern Region
Andhra_Pradesh,2018,1,943935,1235785515.599726,Southern Region
Andhra_Pradesh,2018,1,863935,1284255179.6156201,Southern Region
Andhra_Pradesh,2018,1,830324,1009621878.0870509,Southern Region
Andhra_Pradesh,2018,1,815932,1108686589.026682,Southern Region
Andhra_Pradesh,2018,1,679623,764905298.7350456,Southern Region
Andhra_Pradesh,2018,1,638664,788830646.0324218,Southern Region
Andhra_Pradesh,2018,1,577090,853547668.7532667,Southern Region
Andhra_Pradesh,2018,1,534757,748990775.8676486,Southern Region
Andhra_Pradesh,2018,1,531612,676643237.8069417,Southern Region
Andhra_Pradesh,2018,2,1641192,2987853607.2939086,Southern Region
Andhra_Pradesh,2018,2,1224987,2448141593.4919834,Southern Region
Andhra_Pradesh,2018,2,1221677,2168914928.423901,Southern Region
Andhra_Pradesh,2018,2,1185723,1990419125.893711,Southern Region
Andhra_Pradesh,2018,2,1088101,2108475811.785997,Southern Region
Andhra_Pradesh,2018,2,968439,1531888665.684323,Southern Region
Andhra_Pradesh,2018,2,937023,1690366079.055792,Southern Region
Andhra_Pradesh,2018,2,786033,1688025212.304594,Southern Region
Andhra_Pradesh,2018,2,780454,1542057934.010896,Southern Region
Andhra_Pradesh,2018,2,739991,1571167562.1276271,Southern Region
Andhra_Pradesh,2018,3,3394576,4821892253.393524,Southern Region
Andhra_Pradesh,2018,3,3226907,3551247095.307446,Southern Region
Andhra_Pradesh,2018,3,2921189,2908389261.539773,Southern Region
Andhra_Pradesh,2018,3,2396934,3754202654.384461,Southern Region
Andhra_Pradesh,2018,3,2297429,3283517630.720593,Southern Region
Andhra_Pradesh,2018,3,1912529,3127764663.180438,Southern Region
Andhra_Pradesh,2018,3,1815215,2681787750.4641647,Southern Region
Andhra_Pradesh,2018,3,1557444,2235904512.2542043,Southern Region
Andhra_Pradesh,2018,3,1431282,2309078492.805815,Southern Region
Andhra_Pradesh,2018,3,1319651,2346453445.4838424,Southern Region
Andhra_Pradesh,2018,4,4791421,7366635864.849373,Southern Region
Andhra_Pradesh,2018,4,3166201,4979093890.223491,Southern Region
Andhra_Pradesh,2018,4,3052762,4652624623.436675,Southern Region
Andhra_Pradesh,2018,4,2839161,5416251838.130406,Southern Region
Andhra_Pradesh,2018,4,2546620,4730251217.6969595,Southern Region
Andhra_Pradesh,2018,4,2508530,3626544852.4069242,Southern Region
Andhra_Pradesh,2018,4,2286391,3975878156.3298287,Southern Region
Andhra_Pradesh,2018,4,1814997,3293448556.973445,Southern Region
Andhra_Pradesh,2018,4,1732527,3252340063.247859,Southern Region
Andhra_Pradesh,2018,4,1692862,3255254226.03728,Southern Region
Andhra_Pradesh,2019,1,9690866,13459857440.552681,Southern Region
Andhra_Pradesh,2019,1,6486813,8223371732.233584,Southern Region
Andhra_Pradesh,2019,1,5443981,9061346433.07268,Southern Region
Andhra_Pradesh,2019,1,5440146,7382264724.59952,Southern Region
Andhra_Pradesh,2019,1,4846553,7765934169.404485,Southern Region
Andhra_Pradesh,2019,1,4193432,5541564892.509683,Southern Region
Andhra_Pradesh,2019,1,3891336,6044730653.191345,Southern Region
Andhra_Pradesh,2019,1,3333584,5161932216.216368,Southern Region
Andhra_Pradesh,2019,1,2931081,4807527779.215152,Southern Region
Andhra_Pradesh,2019,1,2852197,4915811593.896078,Southern Region
Andhra_Pradesh,2019,2,11705738,20797479804.02907,Southern Region
Andhra_Pradesh,2019,2,6428472,13437029115.62075,Southern Region
Andhra_Pradesh,2019,2,5983308,10982727976.22432,Southern Region
Andhra_Pradesh,2019,2,5005275,10405246943.48149,Southern Region
Andhra_Pradesh,2019,2,4699261,9116404622.476511,Southern Region
Andhra_Pradesh,2019,2,3895824,7358285187.018034,Southern Region
Andhra_Pradesh,2019,2,3578836,7830782361.377665,Southern Region
Andhra_Pradesh,2019,2,3141891,6880873007.482059,Southern Region
Andhra_Pradesh,2019,2,2670529,6262396448.455348,Southern Region
Andhra_Pradesh,2019,2,2606284,6376856828.130631,Southern Region
Andhra_Pradesh,2019,3,16694947,26944837120.04628,Southern Region
Andhra_Pradesh,2019,3,8408474,16404073560.50078,Southern Region
Andhra_Pradesh,2019,3,8201783,13837455758.755262,Southern Region
Andhra_Pradesh,2019,3,6942304,13075661264.18803,Southern Region
Andhra_Pradesh,2019,3,6537303,11387726470.57774,Southern Region
Andhra_Pradesh,2019,3,5139134,9025632779.412457,Southern Region
Andhra_Pradesh,2019,3,4889720,9554081289.488277,Southern Region
Andhra_Pradesh,2019,3,4150195,8256600118.735449,Southern Region
Andhra_Pradesh,2019,3,3430750,7354502261.15091,Southern Region
Andhra_Pradesh,2019,3,3296586,7447544274.211781,Southern Region
Andhra_Pradesh,2019,4,23594874,39133296330.044624,Southern Region
Andhra_Pradesh,2019,4,11719402,23039786404.04663,Southern Region
Andhra_Pradesh,2019,4,11246986,19298476027.87548,Southern Region
Andhra_Pradesh,2019,4,9761330,18565626418.03591,Southern Region
Andhra_Pradesh,2019,4,9285739,16816774065.30131,Southern Region
Andhra_Pradesh,2019,4,7001958,13233105728.54823,Southern Region
Andhra_Pradesh,2019,4,6764112,13887248889.06406,Southern Region
Andhra_Pradesh,2019,4,5877804,11786014089.19402,Southern Region
Andhra_Pradesh,2019,4,4865473,10604077824.801031,Southern Region
Andhra_Pradesh,2019,4,4793157,10865073855.73078,Southern Region
Andhra_Pradesh,2020,1,27115031,48809747614.67889,Southern Region
Andhra_Pradesh,2020,1,13257740,23441848567.34419,Southern Region
Andhra_Pradesh,2020,1,12175289,24481702770.71471,Southern Region
Andhra_Pradesh,2020,1,11493331,22992734620.64621,Southern Region
Andhra_Pradesh,2020,1,11346242,21854701379.428677,Southern Region
Andhra_Pradesh,2020,1,8466129,17864325752.82528,Southern Region
Andhra_Pradesh,2020,1,8246869,17022710311.81304,Southern Region
Andhra_Pradesh,2020,1,7430247,15387829694.446861,Southern Region
Andhra_Pradesh,2020,1,6318396,14169104764.52673,Southern Region
Andhra_Pradesh,2020,1,6031255,14059924636.81991,Southern Region
Andhra_Pradesh,2020,2,25300401,48293889917.414375,Southern Region
Andhra_Pradesh,2020,2,14848197,27361300300.01902,Southern Region
Andhra_Pradesh,2020,2,13130334,26319906327.32029,Southern Region
Andhra_Pradesh,2020,2,12313709,26964149095.36629,Southern Region
Andhra_Pradesh,2020,2,12308707,27463593607.83911,Southern Region
Andhra_Pradesh,2020,2,10473739,22094006659.412502,Southern Region
Andhra_Pradesh,2020,2,9821381,22419372061.805172,Southern Region
Andhra_Pradesh,2020,2,9454274,20665376460.772232,Southern Region
Andhra_Pradesh,2020,2,8844580,19846026726.90433,Southern Region
Andhra_Pradesh,2020,2,8033609,19597207268.13202,Southern Region
Andhra_Pradesh,2020,3,34421299,67628440368.111465,Southern Region
Andhra_Pradesh,2020,3,20501863,42811566246.16463,Southern Region
Andhra_Pradesh,2020,3,19110457,44788458672.084435,Southern Region
Andhra_Pradesh,2020,3,17972431,39300043804.758514,Southern Region
Andhra_Pradesh,2020,3,17601395,42531195809.75448,Southern Region
Andhra_Pradesh,2020,3,16468209,39128324534.03021,Southern Region
Andhra_Pradesh,2020,3,14447683,34102037972.657852,Southern Region
Andhra_Pradesh,2020,3,13243292,32529351107.17173,Southern Region
Andhra_Pradesh,2020,3,12266310,31221704852.44969,Southern Region
Andhra_Pradesh,2020,3,11934653,32037007334.12973,Southern Region
Andhra_Pradesh,2020,4,46551467,91879823025.40399,Southern Region
Andhra_Pradesh,2020,4,29590411,61505711149.79541,Southern Region
Andhra_Pradesh,2020,4,27981050,64461504667.607216,Southern Region
Andhra_Pradesh,2020,4,26136538,60641872021.254326,Southern Region
Andhra_Pradesh,2020,4,25989490,58732615663.118416,Southern Region
Andhra_Pradesh,2020,4,20996384,49732610814.26222,Southern Region
Andhra_Pradesh,2020,4,20934374,49115443663.37911,Southern Region
Andhra_Pradesh,2020,4,18737323,44718203115.22612,Southern Region
Andhra_Pradesh,2020,4,16176867,41852443493.51539,Southern Region
Andhra_Pradesh,2020,4,15676878,42572974713.44025,Southern Region
Andhra_Pradesh,2021,1,48248923,95308386037.84721,Southern Region
Andhra_Pradesh,2021,1,29717175,69715406644.53484,Southern Region
Andhra_Pradesh,2021,1,29342609,60947491846.66088,Southern Region
Andhra_Pradesh,2021,1,27445045,64207987853.1084,Southern Region
Andhra_Pradesh,2021,1,26190701,60027984987.969505,Southern Region
Andhra_Pradesh,2021,1,22541428,52210333201.53073,Southern Region
Andhra_Pradesh,2021,1,20102957,48353870395.01808,Southern Region
Andhra_Pradesh,2021,1,17918524,44941629659.56964,Southern Region
Andhra_Pradesh,2021,1,16015685,42124030669.36127,Southern Region
Andhra_Pradesh,2021,1,15374473,42570919448.50447,Southern Region
Andhra_Pradesh,2021,2,54390299,114439012713.3533,Southern Region
Andhra_Pradesh,2021,2,36370960,90021923049.96454,Southern Region
Andhra_Pradesh,2021,2,34344902,73654690122.43158,Southern Region
Andhra_Pradesh,2021,2,32968819,82356914463.83287,Southern Region
Andhra_Pradesh,2021,2,31717908,74604325863.66068,Southern Region
Andhra_Pradesh,2021,2,30290406,72283071757.09679,Southern Region
Andhra_Pradesh,2021,2,25123346,60987487571.27992,Southern Region
Andhra_Pradesh,2021,2,21972396,56659287474.9958,Southern Region
Andhra_Pradesh,2021,2,20950964,57233116236.187965,Southern Region
Andhra_Pradesh,2021,2,19944047,54535328043.04135,Southern Region
Andhra_Pradesh,2021,3,69220981,136945652159.2651,Southern Region
Andhra_Pradesh,2021,3,44828275,104417897558.5897,Southern Region
Andhra_Pradesh,2021,3,42628568,89371931753.04831,Southern Region
Andhra_Pradesh,2021,3,41675093,96525353090.12306,Southern Region
Andhra_Pradesh,2021,3,39572714,89380370072.7078,Southern Region
Andhra_Pradesh,2021,3,34411958,77839676988.30869,Southern Region
