State,Year,Quarter,Registered_users,Region
Andaman_and_Nicobar_Islands,2018,1,5846,Southern Region
Andaman_and_Nicobar_Islands,2018,1,632,Southern Region
Andaman_and_Nicobar_Islands,2018,1,262,Southern Region
Andaman_and_Nicobar_Islands,2018,2,8143,Southern Region
Andaman_and_Nicobar_Islands,2018,2,911,Southern Region
Andaman_and_Nicobar_Islands,2018,2,351,Southern Region
Andaman_and_Nicobar_Islands,2018,3,10474,Southern Region
Andaman_and_Nicobar_Islands,2018,3,1208,Southern Region
Andaman_and_Nicobar_Islands,2018,3,467,Southern Region
Andaman_and_Nicobar_Islands,2018,4,13133,Southern Region
Andaman_and_Nicobar_Islands,2018,4,1553,Southern Region
Andaman_and_Nicobar_Islands,2018,4,536,Southern Region
Andaman_and_Nicobar_Islands,2019,1,15961,Southern Region
Andaman_and_Nicobar_Islands,2019,1,2013,Southern Region
Andaman_and_Nicobar_Islands,2019,1,622,Southern Region
Andaman_and_Nicobar_Islands,2019,2,18621,Southern Region
Andaman_and_Nicobar_Islands,2019,2,2417,Southern Region
Andaman_and_Nicobar_Islands,2019,2,693,Southern Region
Andaman_and_Nicobar_Islands,2019,3,20518,Southern Region
Andaman_and_Nicobar_Islands,2019,3,2662,Southern Region
Andaman_and_Nicobar_Islands,2019,3,751,Southern Region
Andaman_and_Nicobar_Islands,2019,4,22202,Southern Region
Andaman_and_Nicobar_Islands,2019,4,2955,Southern Region
Andaman_and_Nicobar_Islands,2019,4,803,Southern Region
Andaman_and_Nicobar_Islands,2020,1,24174,Southern Region
Andaman_and_Nicobar_Islands,2020,1,3315,Southern Region
Andaman_and_Nicobar_Islands,2020,1,879,Southern Region
Andaman_and_Nicobar_Islands,2020,2,27626,Southern Region
Andaman_and_Nicobar_Islands,2020,2,4100,Southern Region
Andaman_and_Nicobar_Islands,2020,2,984,Southern Region
Andaman_and_Nicobar_Islands,2020,3,34833,Southern Region
Andaman_and_Nicobar_Islands,2020,3,5355,Southern Region
Andaman_and_Nicobar_Islands,2020,3,1147,Southern Region
Andaman_and_Nicobar_Islands,2020,4,43908,Southern Region
Andaman_and_Nicobar_Islands,2020,4,7076,Southern Region
Andaman_and_Nicobar_Islands,2020,4,1412,Southern Region
Andaman_and_Nicobar_Islands,2021,1,48352,Southern Region
Andaman_and_Nicobar_Islands,2021,1,7833,Southern Region
Andaman_and_Nicobar_Islands,2021,1,1573,Southern Region
Andaman_and_Nicobar_Islands,2021,2,51903,Southern Region
Andaman_and_Nicobar_Islands,2021,2,8493,Southern Region
Andaman_and_Nicobar_Islands,2021,2,1699,Southern Region
Andaman_and_Nicobar_Islands,2021,3,55873,Southern Region
Andaman_and_Nicobar_Islands,2021,3,9263,Southern Region
Andaman_and_Nicobar_Islands,2021,3,1846,Southern Region
Andaman_and_Nicobar_Islands,2021,4,59807,Southern Region
Andaman_and_Nicobar_Islands,2021,4,10002,Southern Region
Andaman_and_Nicobar_Islands,2021,4,1971,Southern Region
Andaman_and_Nicobar_Islands,2022,1,63487,Southern Region
Andaman_and_Nicobar_Islands,2022,1,10720,Southern Region
Andaman_and_Nicobar_Islands,2022,1,2081,Southern Region
Andaman_and_Nicobar_Islands,2022,2,66959,Southern Region
Andaman_and_Nicobar_Islands,2022,2,11379,Southern Region
Andaman_and_Nicobar_Islands,2022,2,2192,Southern Region
Andaman_and_Nicobar_Islands,2022,3,70445,Southern Region
Andaman_and_Nicobar_Islands,2022,3,11897,Southern Region
Andaman_and_Nicobar_Islands,2022,3,2300,Southern Region
Andaman_and_Nicobar_Islands,2022,4,73692,Southern Region
Andaman_and_Nicobar_Islands,2022,4,12361,Southern Region
Andaman_and_Nicobar_Islands,2022,4,2389,Southern Region
Andhra_Pradesh,2018,1,497187,Southern Region
Andhra_Pradesh,2018,1,350356,Southern Region
Andhra_Pradesh,2018,1,323673,Southern Region
Andhra_Pradesh,2018,1,317065,Southern Region
Andhra_Pradesh,2018,1,309541,Southern Region
Andhra_Pradesh,2018,1,241192,Southern Region
Andhra_Pradesh,2018,1,240133,Southern Region
Andhra_Pradesh,2018,1,213335,Southern Region
Andhra_Pradesh,2018,1,194475,Southern Region
Andhra_Pradesh,2018,1,189949,Southern Region
Andhra_Pradesh,2018,2,636052,Southern Region
Andhra_Pradesh,2018,2,454398,Southern Region
Andhra_Pradesh,2018,2,431965,Southern Region
Andhra_Pradesh,2018,2,420326,Southern Region
Andhra_Pradesh,2018,2,414306,Southern Region
Andhra_Pradesh,2018,2,326383,Southern Region
Andhra_Pradesh,2018,2,319313,Southern Region
Andhra_Pradesh,2018,2,282393,Southern Region
Andhra_Pradesh,2018,2,261049,Southern Region
Andhra_Pradesh,2018,2,253458,Southern Region
Andhra_Pradesh,2018,3,769096,Southern Region
Andhra_Pradesh,2018,3,558982,Southern Region
Andhra_Pradesh,2018,3,537086,Southern Region
Andhra_Pradesh,2018,3,518931,Southern Region
Andhra_Pradesh,2018,3,515727,Southern Region
Andhra_Pradesh,2018,3,405855,Southern Region
Andhra_Pradesh,2018,3,394311,Southern Region
Andhra_Pradesh,2018,3,349782,Southern Region
Andhra_Pradesh,2018,3,322446,Southern Region
Andhra_Pradesh,2018,3,314899,Southern Region
Andhra_Pradesh,2018,4,978288,Southern Region
Andhra_Pradesh,2018,4,694455,Southern Region
Andhra_Pradesh,2018,4,682479,Southern Region
Andhra_Pradesh,2018,4,665280,Southern Region
Andhra_Pradesh,2018,4,659552,Southern Region
Andhra_Pradesh,2018,4,510892,Southern Region
Andhra_Pradesh,2018,4,498582,Southern Region
Andhra_Pradesh,2018,4,435668,Southern Region
Andhra_Pradesh,2018,4,407495,Southern Region
Andhra_Pradesh,2018,4,394962,Southern Region
Andhra_Pradesh,2019,1,1174517,Southern Region
Andhra_Pradesh,2019,1,839277,Southern Region
Andhra_Pradesh,2019,1,833694,Southern Region
Andhra_Pradesh,2019,1,812314,Southern Region
Andhra_Pradesh,2019,1,802394,Southern Region
Andhra_Pradesh,2019,1,612162,Southern Region
Andhra_Pradesh,2019,1,599422,Southern Region
Andhra_Pradesh,2019,1,523372,Southern Region
Andhra_Pradesh,2019,1,491908,Southern Region
Andhra_Pradesh,2019,1,474260,Southern Region
Andhra_Pradesh,2019,2,1318740,Southern Region
Andhra_Pradesh,2019,2,952300,Southern Region
Andhra_Pradesh,2019,2,945181,Southern Region
Andhra_Pradesh,2019,2,925491,Southern Region
Andhra_Pradesh,2019,2,915256,Southern Region
Andhra_Pradesh,2019,2,695114,Southern Region
Andhra_Pradesh,2019,2,680118,Southern Region
Andhra_Pradesh,2019,2,592185,Southern Region
Andhra_Pradesh,2019,2,558303,Southern Region
Andhra_Pradesh,2019,2,539462,Southern Region
Andhra_Pradesh,2019,3,1460464,Southern Region
Andhra_Pradesh,2019,3,1066546,Southern Region
Andhra_Pradesh,2019,3,1057167,Southern Region
Andhra_Pradesh,2019,3,1032733,Southern Region
Andhra_Pradesh,2019,3,1026418,Southern Region
Andhra_Pradesh,2019,3,773656,Southern Region
Andhra_Pradesh,2019,3,755024,Southern Region
Andhra_Pradesh,2019,3,662102,Southern Region
Andhra_Pradesh,2019,3,619592,Southern Region
Andhra_Pradesh,2019,3,598568,Southern Region
Andhra_Pradesh,2019,4,1620235,Southern Region
Andhra_Pradesh,2019,4,1199971,Southern Region
Andhra_Pradesh,2019,4,1195228,Southern Region
Andhra_Pradesh,2019,4,1158708,Southern Region
Andhra_Pradesh,2019,4,1156351,Southern Region
Andhra_Pradesh,2019,4,873033,Southern Region
Andhra_Pradesh,2019,4,846885,Southern Region
Andhra_Pradesh,2019,4,750078,Southern Region
Andhra_Pradesh,2019,4,697154,Southern Region
Andhra_Pradesh,2019,4,673522,Southern Region
Andhra_Pradesh,2020,1,1763581,Southern Region
Andhra_Pradesh,2020,1,1331602,Southern Region
Andhra_Pradesh,2020,1,1329664,Southern Region
Andhra_Pradesh,2020,1,1289678,Southern Region
Andhra_Pradesh,2020,1,1270907,Southern Region
Andhra_Pradesh,2020,1,971850,Southern Region
Andhra_Pradesh,2020,1,936293,Southern Region
Andhra_Pradesh,2020,1,843835,Southern Region
Andhra_Pradesh,2020,1,775440,Southern Region
Andhra_Pradesh,2020,1,748655,Southern Region
Andhra_Pradesh,2020,2,1904719,Southern Region
Andhra_Pradesh,2020,2,1459116,Southern Region
Andhra_Pradesh,2020,2,1459041,Southern Region
Andhra_Pradesh,2020,2,1426271,Southern Region
Andhra_Pradesh,2020,2,1385916,Southern Region
Andhra_Pradesh,2020,2,1076953,Southern Region
Andhra_Pradesh,2020,2,1035093,Southern Region
Andhra_Pradesh,2020,2,944829,Southern Region
Andhra_Pradesh,2020,2,854459,Southern Region
Andhra_Pradesh,2020,2,830709,Southern Region
Andhra_Pradesh,2020,3,2058346,Southern Region
Andhra_Pradesh,2020,3,1601940,Southern Region
Andhra_Pradesh,2020,3,1599289,Southern Region
Andhra_Pradesh,2020,3,1567595,Southern Region
Andhra_Pradesh,2020,3,1506503,Southern Region
Andhra_Pradesh,2020,3,1186851,Southern Region
Andhra_Pradesh,2020,3,1132240,Southern Region
Andhra_Pradesh,2020,3,1053674,Southern Region
Andhra_Pradesh,2020,3,937176,Southern Region
Andhra_Pradesh,2020,3,915240,Southern Region
Andhra_Pradesh,2020,4,2209658,Southern Region
Andhra_Pradesh,2020,4,1746280,Southern Region
Andhra_Pradesh,2020,4,1744028,Southern Region
Andhra_Pradesh,2020,4,1712940,Southern Region
Andhra_Pradesh,2020,4,1631331,Southern Region
Andhra_Pradesh,2020,4,1295872,Southern Region
Andhra_Pradesh,2020,4,1230466,Southern Region
Andhra_Pradesh,2020,4,1163179,Southern Region
Andhra_Pradesh,2020,4,1022944,Southern Region
Andhra_Pradesh,2020,4,999462,Southern Region
Andhra_Pradesh,2021,1,2368081,Southern Region
Andhra_Pradesh,2021,1,1878769,Southern Region
Andhra_Pradesh,2021,1,1876458,Southern Region
Andhra_Pradesh,2021,1,1843237,Southern Region
Andhra_Pradesh,2021,1,1751420,Southern Region
Andhra_Pradesh,2021,1,1394849,Southern Region
Andhra_Pradesh,2021,1,1323411,Southern Region
Andhra_Pradesh,2021,1,1254117,Southern Region
Andhra_Pradesh,2021,1,1100541,Southern Region
Andhra_Pradesh,2021,1,1075936,Southern Region
Andhra_Pradesh,2021,2,2526830,Southern Region
Andhra_Pradesh,2021,2,2006272,Southern Region
Andhra_Pradesh,2021,2,2002662,Southern Region
Andhra_Pradesh,2021,2,1968681,Southern Region
Andhra_Pradesh,2021,2,1870723,Southern Region
Andhra_Pradesh,2021,2,1492738,Southern Region
Andhra_Pradesh,2021,2,1415585,Southern Region
Andhra_Pradesh,2021,2,1339377,Southern Region
Andhra_Pradesh,2021,2,1176334,Southern Region
Andhra_Pradesh,2021,2,1151232,Southern Region
Andhra_Pradesh,2021,3,2707931,Southern Region
Andhra_Pradesh,2021,3,2150622,Southern Region
Andhra_Pradesh,2021,3,2145423,Southern Region
Andhra_Pradesh,2021,3,2110878,Southern Region
Andhra_Pradesh,2021,3,2007011,Southern Region
Andhra_Pradesh,2021,3,1606735,Southern Region
Andhra_Pradesh,2021,3,1522196,Southern Region
Andhra_Pradesh,2021,3,1436576,Southern Region
Andhra_Pradesh,2021,3,1263550,Southern Region
Andhra_Pradesh,2021,3,1239147,Southern Region
Andhra_Pradesh,2021,4,2888774,Southern Region
Andhra_Pradesh,2021,4,2294347,Southern Region
Andhra_Pradesh,2021,4,2288148,Southern Region
Andhra_Pradesh,2021,4,2252443,Southern Region
Andhra_Pradesh,2021,4,2141818,Southern Region
Andhra_Pradesh,2021,4,1719437,Southern Region
Andhra_Pradesh,2021,4,1628242,Southern Region
Andhra_Pradesh,2021,4,1532898,Southern Region
Andhra_Pradesh,2021,4,1349290,Southern Region
Andhra_Pradesh,2021,4,1325728,Southern Region
Andhra_Pradesh,2022,1,3061324,Southern Region
Andhra_Pradesh,2022,1,2432305,Southern Region
Andhra_Pradesh,2022,1,2423373,Southern Region
Andhra_Pradesh,2022,1,2387051,Southern Region
Andhra_Pradesh,2022,1,2270705,Southern Region
Andhra_Pradesh,2022,1,1827094,Southern Region
Andhra_Pradesh,2022,1,1729513,Southern Region
Andhra_Pradesh,2022,1,1626039,Southern Region
Andhra_Pradesh,2022,1,1431664,Southern Region
Andhra_Pradesh,2022,1,1408929,Southern Region
Andhra_Pradesh,2022,2,3226029,Southern Region
Andhra_Pradesh,2022,2,2564165,Southern Region
Andhra_Pradesh,2022,2,2552107,Southern Region
